y,left_boundary,right_boundary,width,center
377,212,303,92,257.5
378,212,302,91,257.0
379,212,302,91,257.0
380,212,302,91,257.0
381,212,302,91,257.0
382,212,301,90,256.5
383,212,301,90,256.5
384,212,301,90,256.5
385,212,301,90,256.5
386,212,301,90,256.5
387,212,301,90,256.5
388,212,301,90,256.5
389,212,301,90,256.5
390,212,301,90,256.5
391,212,300,89,256.0
392,212,300,89,256.0
393,212,300,89,256.0
394,212,300,89,256.0
395,212,300,89,256.0
396,212,300,89,256.0
397,212,300,89,256.0
398,212,299,88,255.5
399,212,299,88,255.5
400,212,299,88,255.5
401,212,299,88,255.5
402,212,299,88,255.5
403,212,299,88,255.5
404,212,299,88,255.5
405,213,299,87,256.0
406,213,299,87,256.0
407,213,299,87,256.0
408,213,299,87,256.0
409,213,299,87,256.0
410,213,299,87,256.0
411,213,299,87,256.0
412,213,298,86,255.5
413,213,298,86,255.5
414,213,298,86,255.5
415,213,298,86,255.5
416,213,298,86,255.5
417,213,298,86,255.5
418,213,298,86,255.5
419,213,298,86,255.5
420,213,298,86,255.5
421,213,298,86,255.5
422,214,298,85,256.0
423,214,298,85,256.0
424,214,298,85,256.0
425,214,298,85,256.0
426,214,298,85,256.0
427,214,298,85,256.0
428,214,298,85,256.0
429,214,298,85,256.0
430,215,296,82,255.5
431,217,294,78,255.5
432,220,287,68,253.5
433,225,281,57,253.0
434,242,262,21,252.0
435,-1,-1,0,-1.0
436,-1,-1,0,-1.0
437,-1,-1,0,-1.0
438,-1,-1,0,-1.0
439,-1,-1,0,-1.0
440,-1,-1,0,-1.0
441,-1,-1,0,-1.0
442,-1,-1,0,-1.0
443,-1,-1,0,-1.0
444,-1,-1,0,-1.0
445,-1,-1,0,-1.0
446,-1,-1,0,-1.0
447,-1,-1,0,-1.0
448,-1,-1,0,-1.0
449,-1,-1,0,-1.0
450,-1,-1,0,-1.0
451,-1,-1,0,-1.0
452,-1,-1,0,-1.0
453,-1,-1,0,-1.0
454,-1,-1,0,-1.0
455,-1,-1,0,-1.0
456,-1,-1,0,-1.0
457,-1,-1,0,-1.0
458,-1,-1,0,-1.0
459,-1,-1,0,-1.0
460,-1,-1,0,-1.0
461,-1,-1,0,-1.0
462,-1,-1,0,-1.0
463,-1,-1,0,-1.0
464,-1,-1,0,-1.0
465,-1,-1,0,-1.0
466,-1,-1,0,-1.0
467,-1,-1,0,-1.0
468,-1,-1,0,-1.0
469,-1,-1,0,-1.0
470,-1,-1,0,-1.0
471,-1,-1,0,-1.0
472,-1,-1,0,-1.0
473,-1,-1,0,-1.0
474,-1,-1,0,-1.0
475,-1,-1,0,-1.0
476,-1,-1,0,-1.0
477,-1,-1,0,-1.0
478,-1,-1,0,-1.0
479,-1,-1,0,-1.0
480,-1,-1,0,-1.0
481,-1,-1,0,-1.0
482,-1,-1,0,-1.0
483,-1,-1,0,-1.0
484,-1,-1,0,-1.0
485,-1,-1,0,-1.0
486,-1,-1,0,-1.0
487,-1,-1,0,-1.0
488,-1,-1,0,-1.0
489,-1,-1,0,-1.0
490,-1,-1,0,-1.0
491,-1,-1,0,-1.0
492,-1,-1,0,-1.0
493,-1,-1,0,-1.0
494,-1,-1,0,-1.0
495,-1,-1,0,-1.0
496,-1,-1,0,-1.0
497,-1,-1,0,-1.0
498,-1,-1,0,-1.0
499,-1,-1,0,-1.0
500,-1,-1,0,-1.0
501,-1,-1,0,-1.0
502,-1,-1,0,-1.0
503,-1,-1,0,-1.0
504,-1,-1,0,-1.0
505,-1,-1,0,-1.0
506,-1,-1,0,-1.0
507,-1,-1,0,-1.0
508,-1,-1,0,-1.0
509,-1,-1,0,-1.0
510,-1,-1,0,-1.0
511,-1,-1,0,-1.0
